,UNITID,INSTNM_x,Percent of students over 23 at entry,WHITE,BLACK,ASIAN,HISPANIC,PCT_BORN_US,MEDIAN_HH_INC,POVERTY_RATE,UNEMP_RATE,LN_MEDIAN_HH_INC,numberOfStudentsNotWorkingAndNotEnrolled10YearsAfterEntry,numberOfStudentsWorkingAndNotEnrolled10YearsAfterEntry,meanEarningsOfStudentsWorkingAndNotEnrolled10yearsAfterEntry,logOfMeanEarnings,Standard deviation of earnings of students working and not enrolled 10 years after entry,INSTNM_y,CITY,STABBR,ZIP,LATITUDE,LONGITUDE,ADM_RATE,ADM_RATE_ALL,SAT_AVG,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54
0,100654,Alabama A & M University,0.079999998,46.84000015,47.97999954,1.480000019,3.789999962,94.73999786,49720.22,14.88000011,4.840000153,10.75,246,1741,34300,34.3,25300,Alabama A & M University,Normal,AL,35762,34.783368,-86.568502,0.6538,0.653841286,850,0.0446,0.0023,0.0094,0,0,0.0164,0.0634,0,0.1268,0.1432,0.0587,0,0.0188,0,0.0235,0.0423,0,0.1009,0.0094,0,0,0,0,0,0.0188,0,0.0282,0.0282,0.0516,0.0399,0,0,0,0,0.0258,0,0.1479,0
1,100663,University of Alabama at Birmingham,0.25999999,69.01999664,27.76000023,1.100000024,2.029999971,96.5,55735.22,10.90999985,3.450000048,10.85999966,470,3474,46400,46.4,36300,University of Alabama at Birmingham,Birmingham,AL,35294-0110,33.50223,-86.80917,0.6043,0.604275287,1147,0,0,0,0.0009,0.0426,0,0.0133,0,0.0815,0.0577,0,0.0069,0,0,0.0192,0.0179,0,0.0715,0.0124,0,0,0,0.0073,0,0.0174,0,0.087,0.0366,0.0238,0.0408,0,0,0,0,0.0376,0.2231,0.1837,0.0188
3,100706,University of Alabama in Huntsville,0.289999992,76.37999725,18.97999954,1.419999957,2.549999952,95.26999664,58688.62,9.369999886,3.640000105,10.93000031,188,1361,50500,50.5,32700,University of Alabama in Huntsville,Huntsville,AL,35899,34.722818,-86.63842,0.812,0.811970979,1221,0,0,0,0,0.0216,0,0.0315,0,0.0216,0.3027,0,0.0162,0,0,0.0126,0,0,0.0712,0.0198,0,0.0009,0,0.0072,0,0.0216,0,0.0171,0,0,0.0189,0,0,0,0,0.0288,0.1892,0.2072,0.0117
4,100724,Alabama State University,0.109999999,42.68999863,52.31999969,1.409999967,4.090000153,94.52999878,46065.2,16.95999908,4.809999943,10.67000008,285,1977,29500,29.5,20500,Alabama State University,Montgomery,AL,36104-0271,32.364317,-86.295677,0.4639,0.463858305,844,0,0,0,0,0.0945,0,0.0567,0,0.1531,0,0,0,0,0,0.0284,0,0,0.0794,0.0302,0,0,0.0151,0,0,0.0265,0,0.0624,0.1342,0.0548,0.0151,0,0,0,0,0.0473,0.0926,0.0983,0.0113
5,100751,The University of Alabama,0.100000001,75.34999847,21.05999947,1.200000048,2.410000086,96.08000183,57928.41,10.05000019,3.25999999,10.89999962,409,3648,49900,49.9,42600,The University of Alabama,Tuscaloosa,AL,35487-0166,33.2144,-87.545766,0.5359,0.535867193,1181,0,0.0039,0,0.0035,0.107,0,0.0067,0,0.0696,0.0788,0,0.0071,0.0714,0,0.0164,0,0,0.0378,0.0083,0,0.0256,0,0.0041,0,0.0095,0,0.035,0.0286,0.0102,0.0364,0,0,0,0,0.0295,0.1065,0.2886,0.0155
8,100830,Auburn University at Montgomery,0.319999993,59.97000122,37.20999908,0.910000026,1.620000005,96.84999847,50723.81,13,3.789999962,10.77999973,195,1409,37900,37.9,27800,Auburn University at Montgomery,Montgomery,AL,36117-3596,32.369939,-86.177351,0.7871,0.787089014,990,0,0.0017,0,0,0.0588,0,0,0,0.079,0,0,0.0067,0,0,0.0319,0.037,0,0.0571,0.0067,0,0,0.0336,0,0,0.0235,0,0.0387,0.0471,0,0.0336,0,0,0,0,0.0286,0.2555,0.2471,0.0134
9,100858,Auburn University,0.07,75.90000153,19.79999924,1.649999976,2.890000105,94.91999817,59005.4,9.590000153,3.140000105,10.89999962,415,4068,54100,54.1,41800,Auburn University,Auburn,AL,36849,32.604685,-85.482782,0.7766,0.776604512,1218,0.0433,0.0152,0.0175,0,0.0533,0,0.0066,0,0.0939,0.1741,0,0.0135,0.0331,0,0.0155,0,0,0.0873,0.0091,0,0.0223,0,0.0015,0,0.0135,0,0.0329,0,0.0214,0.0407,0,0,0,0,0.0367,0.0575,0.1989,0.0122
10,100937,Birmingham Southern College,0.02,78.90000153,17.40999985,1.389999986,2.460000038,95.69000244,64789.39,7.909999847,2.839999914,11.01000023,30,278,51000,51,36600,Birmingham Southern College,Birmingham,AL,35254,33.515453,-86.853636,0.5306,0.530578962,1167,0,0.0225,0,0,0.009,0,0,0,0.0495,0.009,0,0.0135,0,0,0.0405,0,0,0.1261,0.0405,0,0.027,0,0.0315,0,0.0721,0,0.1081,0,0,0.0856,0,0,0,0,0.0991,0,0.2207,0.045
16,101189,Faulkner University,0.620000005,64.87999725,31.88999939,1.049999952,1.809999943,96.58999634,52330.99,12.31000042,3.920000076,10.81000042,218,1263,41500,41.5,28800,Faulkner University,Montgomery,AL,36109-3390,32.384181,-86.21641,0.573,0.573014019,985,0,0,0,0,0,0,0.0112,0,0.0412,0,0,0,0,0.015,0.015,0.03,0,0.0112,0.0037,0,0,0.0318,0,0.0094,0,0,0.0206,0.1592,0,0.0075,0,0,0,0,0.0225,0.0412,0.5768,0.0037
23,101435,Huntingdon College,0.209999993,73.19999695,23.67000008,0.930000007,1.909999967,96.66000366,54037.99,10.60999966,3.289999962,10.85000038,44,308,42400,42.4,32000,Huntingdon College,Montgomery,AL,36106-2148,32.350939,-86.285313,0.5769,0.576943991,992,0,0,0,0,0.039,0,0,0,0.1039,0,0,0,0,0,0.0087,0,0,0.0823,0.0173,0,0,0.0823,0.0173,0.0087,0.0303,0,0.039,0,0,0.013,0,0,0,0,0.0303,0.0216,0.4848,0.0216
